Description,Campaign,Headline 2,Ad Group,Headline 1,Final Url
SEM Cars,toyota camry,toyota camry for Sale,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=toyota&model=camry
SEM Cars,toyota camry,Second Hand toyota camry,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=toyota&model=camry
SEM Cars,toyota corolla,toyota corolla for Sale,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=toyota&model=corolla
SEM Cars,toyota corolla,Second Hand toyota corolla,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=toyota&model=corolla
SEM Cars,toyota,toyota for Sale,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=toyota&model=
SEM Cars,toyota,Second Hand toyota,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=toyota&model=
SEM Cars,honda civic,honda civic for Sale,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=honda&model=civic
SEM Cars,honda civic,Second Hand honda civic,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=honda&model=civic
SEM Cars,honda,honda for Sale,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=honda&model=
SEM Cars,honda,Second Hand honda,Great Prices and Options,"Browse Over 100,000 Cars. Book Your Free Test Drive",http://example.com/?make=honda&model=
