Ad Group,Keyword,Campaign,Criterion Type
honda,honda buy,SEM Cars,Exact
honda,buy honda,SEM Cars,Exact
honda,honda price,SEM Cars,Exact
honda,price honda,SEM Cars,Exact
honda,honda second hand,SEM Cars,Exact
honda,second hand honda,SEM Cars,Exact
honda,honda cheap,SEM Cars,Exact
honda,cheap honda,SEM Cars,Exact
honda,honda lowest price,SEM Cars,Exact
honda,lowest price honda,SEM Cars,Exact
honda,honda low,SEM Cars,Exact
honda,low honda,SEM Cars,Exact
honda,honda used,SEM Cars,Exact
honda,used honda,SEM Cars,Exact
honda accord,honda accord buy,SEM Cars,Exact
honda accord,buy honda accord,SEM Cars,Exact
honda accord,honda accord price,SEM Cars,Exact
honda accord,price honda accord,SEM Cars,Exact
honda accord,honda accord second hand,SEM Cars,Exact
honda accord,second hand honda accord,SEM Cars,Exact
honda accord,honda accord cheap,SEM Cars,Exact
honda accord,cheap honda accord,SEM Cars,Exact
honda accord,honda accord lowest price,SEM Cars,Exact
honda accord,lowest price honda accord,SEM Cars,Exact
honda accord,honda accord low,SEM Cars,Exact
honda accord,low honda accord,SEM Cars,Exact
honda accord,honda accord used,SEM Cars,Exact
honda accord,used honda accord,SEM Cars,Exact
honda civic,honda civic buy,SEM Cars,Exact
honda civic,buy honda civic,SEM Cars,Exact
honda civic,honda civic price,SEM Cars,Exact
honda civic,price honda civic,SEM Cars,Exact
honda civic,honda civic second hand,SEM Cars,Exact
honda civic,second hand honda civic,SEM Cars,Exact
honda civic,honda civic cheap,SEM Cars,Exact
honda civic,cheap honda civic,SEM Cars,Exact
honda civic,honda civic lowest price,SEM Cars,Exact
honda civic,lowest price honda civic,SEM Cars,Exact
honda civic,honda civic low,SEM Cars,Exact
honda civic,low honda civic,SEM Cars,Exact
honda civic,honda civic used,SEM Cars,Exact
honda civic,used honda civic,SEM Cars,Exact
toyota,toyota buy,SEM Cars,Exact
toyota,buy toyota,SEM Cars,Exact
toyota,toyota price,SEM Cars,Exact
toyota,price toyota,SEM Cars,Exact
toyota,toyota second hand,SEM Cars,Exact
toyota,second hand toyota,SEM Cars,Exact
toyota,toyota cheap,SEM Cars,Exact
toyota,cheap toyota,SEM Cars,Exact
toyota,toyota lowest price,SEM Cars,Exact
toyota,lowest price toyota,SEM Cars,Exact
toyota,toyota low,SEM Cars,Exact
toyota,low toyota,SEM Cars,Exact
toyota,toyota used,SEM Cars,Exact
toyota,used toyota,SEM Cars,Exact
toyota camry,toyota camry buy,SEM Cars,Exact
toyota camry,buy toyota camry,SEM Cars,Exact
toyota camry,toyota camry price,SEM Cars,Exact
toyota camry,price toyota camry,SEM Cars,Exact
toyota camry,toyota camry second hand,SEM Cars,Exact
toyota camry,second hand toyota camry,SEM Cars,Exact
toyota camry,toyota camry cheap,SEM Cars,Exact
toyota camry,cheap toyota camry,SEM Cars,Exact
toyota camry,toyota camry lowest price,SEM Cars,Exact
toyota camry,lowest price toyota camry,SEM Cars,Exact
toyota camry,toyota camry low,SEM Cars,Exact
toyota camry,low toyota camry,SEM Cars,Exact
toyota camry,toyota camry used,SEM Cars,Exact
toyota camry,used toyota camry,SEM Cars,Exact
